"№","Region (RU)","Region (BA)","Region (ENG)","Region (Com. Turk. BA)","District (RU)","District (BA)","District (ENG)","District (Com. Turk. BA)","Name (RU)","Name (BA)","Name (ENG)","Name (Com. Turk. BA)","Clan (RU)","Clan (BA)","Clan (ENG)","Clan (Com. Turk. BA)","Dialect (RU)","Dialect (BA)","Dialect (ENG)","Dialect (Com. Turk. BA)","Sub-dialect & Variety (RU)","Sub-dialect & Variety (BA)","Sub-dialect & Variety (ENG)","Sub-dialect & Variety (Com. Turk. BA)","Map Link","latitude","longitude","Status"
"1","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Азналино","Аҙналы","Aznalino","Aźnalı","Сарт-Айле","Һарт-Әйле","Sart-Ayle","Hart-Äyle","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=13/54.70719/62.29004","54.70719","62.29004",""
"2","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Большое Султаново","Оло Солтан","Bolshoye Sultanovo","Olo Soltan","Сарт","Һарт","Sart","Hart","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=13/54.81148/62.15273","54.81148","62.15273",""
"3","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Малое Султаново","Кесе Солтан","Maloye Sultanovo","Kese Soltan","Сарт","Һарт","Sart","Hart","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.80267/62.15276","54.80267","62.15276",""
"4","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Сарт-Абдрашево","Һарт-Әбдрәш","Sart-Abdrashevo","Hart-Äbdräş","Сарт","Һарт","Sart","Hart","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=13/54.77781/62.24729","54.77781","62.24729",""
"5","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Баязитово","Баязит","Bayazitovo","Bayazit","Сарт-Айле","Һарт-Әйле","Sart-Ayle","Hart-Äyle","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.79518/62.36811","54.79518","62.36811",""
"6","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Бугуй","Бугуй","Buguy","Buguy","Табын","Табын","Tabyn","Tabın","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.80872/62.76202","54.80872","62.76202",""
"7","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Бакаево","Баҡай","Bakayevo","Baqay","Табын-Калмак","Табын-Ҡалмаҡ","Tabyn-Kalmak","Tabın-Qalmaq","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.66893/62.58865","54.66893","62.58865",""
"8","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Бикбирды","Бикбирҙе","Bikbirdy","Bikbirźe","Кувакан","Ҡыуаҡан","Kuvakan","Qıwaqan","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.88032/62.39927","54.88032","62.39927",""
"9","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Сулейманово","Сөләймән","Suleymanovo","Söläymän","Сарт-Калмак","Һарт-Ҡалмаҡ","Sart-Kalmak","Hart-Qalmaq","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.76476/62.55119","54.76476","62.55119",""
"10","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Абултаево","Абултай","Abultayevo","Abultay","Калмак","Ҡалмаҡ","Kalmak","Qalmaq","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.86273/62.57798","54.86273","62.57798",""
